,Valid Domains,MXRecords
199,highlandparkcommunityschool.org,smtp.secureserver.net.
200,madibaprep.org,smtp.secureserver.net.
201,taots.org,aspmx.l.google.com.
202,bktheatrearts.org,mail.bktheatrearts.org.
203,millenniumbrooklynhs.org,alt2.aspmx.l.google.com.
204,elpuente.org,alt3.aspmx.l.google.com.
205,bsi686.org,aspmx.l.google.com.
206,kurthahnschool.org,aspmx.l.google.com.
207,bkagf.org,alt2.aspmx.l.google.com.
208,nycoutwardbound.org,alt2.aspmx.l.google.com.
209,icsnyc.org,ghs.google.com.
210,hydebrooklyn.org,hydebrooklyn-org.mail.protection.outlook.com.
211,victorycollegiate.org,alt2.aspmx.l.google.com.
212,ps770.org,smtp.secureserver.net.
213,p771k.org,aspmx.l.google.com.
214,northsidechs.org,alt2.aspmx.l.google.com.
215,mysbchs.org,alt3.aspmx.l.google.com.
216,brooklyncharter.org,aspmx2.googlemail.com.
217,cpcsschool.org,alt3.aspmx.l.google.com.
218,bsnbcs.org,aspmx3.googlemail.com.
219,brooklyncompass.org,alt1.aspmx.l.google.com.
220,culturalartsacademy.org,aspmx2.googlemail.com.
221,brooklynlaboratoryschool.org,alt3.aspmx.l.google.com.
222,campacharter.org,alt2.aspmx.l.google.com.
223,brooklynartselementary.org,ASPMX.L.GOOGLE.COM.
224,brooklynprospect.org,alt4.aspmx.l.google.com.
225,ms839.org,aspmx2.googlemail.com.
226,ms890.org,aspmx.l.google.com.
227,belahs.org,aspmx.l.google.com.
228,hla2.org,alt2.aspmx.l.google.com.
229,ps896.org,alt3.aspmx.l.google.com.
230,keycollegiate.org,keycollegiate-org.mail.protection.outlook.com.
231,ms915brooklyn.org,aspmx2.googlemail.com.
232,ivyhillprep.org,aspmx.l.google.com.
233,leepacademies.org,leepacademies.org.
234,ps1m.org,aspmx.l.google.com.
235,ps3nyc.org,alt2.aspmx.l.google.com.
236,ps005m.org,aspmx2.googlemail.com.
237,ps6nyc.org,park-mx.above.com.
238,ps9.org,mx.ps9.org.
